,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
ABOMINATION / EMIL BLO,0.0038461538461538464,3.27386728455423e-05,0.35725190839694654,0.006443598383461759,1005,636,568,638
ABSORBING MAN / CARL C,0.02264957264957265,0.00017503767954906316,0.42584167424931757,0.038726513880492766,182,448,139,138
"ACHEBE, REVEREND DOC",0.003418803418803419,5.220184784100987e-08,0.31802120141342755,0.0009542895723263575,1126,1285,1817,1831
ACHILLES II / HELMUT,0.004700854700854701,3.6541293488706915e-08,0.3369815668202765,0.0023614870920970923,861,1298,1355,1210
"ADAMS, CINDY",0.002564102564102564,0.0,0.3249097472924188,0.0016969067310161024,1362,1310,1653,1451
"ADAMS, NICOLE NIKKI",0.00641025641025641,1.7082736739757275e-05,0.32191498142798186,0.0014244009764366348,653,705,1734,1577
ADMIRAL PROTOCOL / ,0.004273504273504274,5.994620549651888e-07,0.3292991837883479,0.0030381359209038982,937,1101,1548,1031
ADORA,0.002564102564102564,0.0008547008547008547,0.3462562888428529,0.005584341422045397,1362,258,1052,691
ADVA,0.0029914529914529912,1.4616517395482766e-07,0.3374675511970003,0.0017416917613777793,1243,1232,1334,1431
ADVERSARY,0.008547008547008548,4.181348939001816e-06,0.3515625,0.011439008647269228,468,893,728,418
AEGIS / TREY ROLLINS,0.003418803418803419,2.283830843044182e-07,0.32590529247910865,0.002573506191157417,1126,1199,1646,1156
AENTAROS,0.0029914529914529912,4.567661686088364e-07,0.3084629580806749,0.0005676042262987643,1243,1132,1958,1996
AGAMEMNON III / ,0.005128205128205128,1.8479361447463207e-06,0.33703010226127034,0.00237698798402759,808,969,1351,1203
AGAMOTTO,0.0017094017094017094,0.0,0.32920652785593696,0.0014236463858595463,1649,1310,1564,1578
AGED GENGHIS,0.0008547008547008547,0.0,0.32897511598481655,0.0011298571165833883,1996,1310,1578,1743
"AGEE, DR. AUBREY",0.0008547008547008547,0.0,0.33766233766233766,0.0022864404919712075,1996,1310,1330,1236
AHAB / RORY CAMPBELL,0.004273504273504274,0.0,0.35182679296346414,0.009649473451219106,937,1310,720,466
AHQLAU,0.0029914529914529912,0.0,0.31245827213246097,0.0012519423120588076,1243,1310,1911,1645
AHURA,0.002136752136752137,0.0,0.310098065200106,0.002097943970278912,1489,1310,1952,1292
AIREO / AEOLUS [INHUMA,0.00811965811965812,7.43096381006411e-05,0.3380037555972844,0.0070170544410532686,497,547,1297,595
AIR-WALKER / GABRIEL L,0.002136752136752137,7.36054917350742e-08,0.32427937915742794,0.0020110639270823688,1489,1276,1662,1328
AJAK / TECUMOTZIN [ETE,0.005128205128205128,2.6130298903458024e-05,0.34110787172011664,0.0024123701787330124,808,665,1187,1194
AJAX,0.005128205128205128,1.8479361447463207e-06,0.33703010226127034,0.002376987984027591,808,969,1351,1202
ALBERT,0.003418803418803419,1.5806901151980986e-06,0.3463587921847247,0.0027278346595337104,1126,982,1047,1117
"ALEXANDER, CALEB",0.002564102564102564,0.0,0.3373702422145329,0.0020296686357134494,1362,1310,1338,1321
"ALEXANDER, CARRIE",0.005555555555555556,6.563231554335795e-05,0.35994462390401477,0.00418769752744239,754,561,528,840
"ALRAUNE, MARLENE",0.005555555555555556,0.0002822895178473191,0.3494101836643273,0.0019144486830157798,754,367,838,1370
"ALVAREZ, FELIX",0.0038461538461538464,6.064114657530647e-07,0.3386396526772793,0.0021875159669045236,1005,1099,1255,1263
"ALVAREZ, PAUL",0.0017094017094017094,0.0,0.2623612512613522,0.0003133874508001126,1649,1310,2258,2104
AMIKO,0.001282051282051282,0.0,0.3436123348017621,0.0013865755286108302,1804,1310,1126,1588
AMPHIBIAN / KINGLEY RI,0.0059829059829059825,3.8515596600187404e-05,0.3502994011976048,0.004682737641925475,702,621,804,786
AMPHIBIUS,0.007692307692307693,1.5324707650589234e-05,0.3522504892367906,0.011583988061680733,530,716,698,415
ANACONDA / BLANCHE SIT,0.010256410256410256,1.796642156813297e-05,0.35492188684968906,0.0036584151622702466,395,702,627,911
ANAK,0.007692307692307693,5.484914801062487e-06,0.34080978735799594,0.003540198760508795,530,866,1194,933
ANALYZER,0.008974358974358974,5.564741386291876e-05,0.34774855104770397,0.007214709482924191,442,586,924,587
ANCIENT ONE,0.003418803418803419,1.1519592417034287e-06,0.32967032967032966,0.002187890036971163,1126,1019,1537,1262
"ANDERSSEN, TANYA",0.0008547008547008547,0.0,0.3326226012793177,0.0013140022122583037,1996,1310,1464,1626
"ANDREWS, DARYL TROOP",0.0017094017094017094,0.0,0.3121664887940235,0.0005071064713965482,1649,1310,1923,2028
ANDROMEDA / ANDROMEDA,0.006837606837606838,6.391507264157578e-05,0.3750601057861837,0.011023664819049657,605,565,340,427
ANGAR THE SCREAMER / D,0.0017094017094017094,3.0888894583901403e-06,0.33815028901734107,0.002383066108805521,1649,929,1294,1200
ANGEL / WARREN KENNETH,0.11452991452991453,0.017074286715506638,0.4979782932538838,0.11415522111592108,19,29,17,19
ANGLER,0.0008547008547008547,0.0,0.3231151615575808,0.0009777674043289935,1996,1310,1691,1801
ANNIHILUS,0.006837606837606838,2.070491564496881e-05,0.37650844730490746,0.015076933496462629,605,692,328,336
ANSWER,0.0017094017094017094,0.0,0.3489412466447957,0.0017892807970532115,1649,1310,859,1413
ANT-MAN / DR. HENRY J.,0.09829059829059829,0.006800686149542874,0.4896421845574388,0.10842406262383,28,64,28,25
ANT-MAN II / SCOTT HAR,0.027777777777777776,0.0006795901592364644,0.4276315789473684,0.04081026663364387,155,285,134,129
APE MAN / GORDON MONK,0.003418803418803419,5.9072092320272384e-05,0.33060186493359706,0.0015245290842485991,1126,578,1503,1534
APE / ,0.005128205128205128,9.37702037100073e-07,0.3466666666666667,0.006755498545564409,808,1041,1039,616
APE-X / XINA,0.005555555555555556,2.0428897844685693e-07,0.282950423216445,0.0007833989163618798,754,1203,2141,1926
