,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
24-HOUR MAN / EMMANUEL,0.0007810059356451108,0.0,0.26313193588162764,6.801187545608921e-06,5841,4067,6394,6388
3-D MAN / CHARLES CHAN,0.019056544829740705,4.927328071656949e-05,0.47243745849014834,0.02545798719451515,598,1156,311,324
4-D MAN / MERCURIO,0.011246485473289597,5.3032683900043635e-05,0.41761252446183955,0.008169038669165313,1063,1127,1240,1261
8-BALL / ,0.0021868166198063103,2.342651767596646e-07,0.31735488028553016,0.00015189624192844394,4042,3442,6308,6225
"ABBOTT, JACK",0.0012496094970321774,0.0,0.373512252042007,0.0010036215863585213,5271,4067,3296,4586
ABCISSA,0.0023430178069353325,2.405459762780046e-06,0.39557587740978745,0.002705844693194698,3856,2668,2020,2832
ABEL,0.001718213058419244,4.8805245158263455e-09,0.3441380422512498,0.0007413727508457554,4561,4027,5550,5009
ABOMINATION / EMIL BLO,0.029678225554514215,0.0037548695116031193,0.4812086590499098,0.026270397890652268,335,88,224,311
ABOMINATION | MUTANT,0.007497656982193065,0.0,0.34513989972505255,0.000367110395637837,1588,4067,5422,5713
ABOMINATRIX,0.0009372071227741331,0.0,0.36786760903292537,0.0011988902086185389,5676,4067,3908,4290
ABRAXAS,0.0032802249297094657,0.00016733339544473369,0.39067553548544576,0.003287332745844994,3094,666,2223,2528
ABSALOM,0.006404248672289909,7.074308854220012e-06,0.3699722607489598,0.003155073790240862,1854,2124,3685,2581
ABSORBING MAN / CARL C,0.043423930021868166,0.0009459927238550799,0.4789048473967684,0.03419884998985761,201,253,250,193
ABSORBING MAN | MUTA,0.007497656982193065,0.0,0.34513989972505255,0.00036711039563783686,1588,4067,5422,5720
ACBA,0.005310840362386754,0.0,0.3718849840255591,0.0038753928121514516,2184,4067,3432,2282
"ACHEBE, REVEREND DOC",0.00718525460793502,4.6583001506897395e-05,0.40261618766115337,0.006051022376278503,1664,1180,1702,1617
ACHILLES II / HELMUT,0.009215870040612308,0.00010408758227376038,0.3950144999074474,0.004319247413352572,1318,836,2037,2114
ACHILLES,0.0007810059356451108,0.0,0.2929843027779049,6.30423345168689e-05,5841,4067,6360,6340
ACROBAT / CARL ZANTE,0.0009372071227741331,1.3496185010302975e-07,0.3847818247385503,0.0020408614621791436,5676,3551,2549,3305
"ADAM 3,031",0.0023430178069353325,8.221052966798176e-08,0.3526689803338291,0.00037007878350194787,3856,3655,4942,5702
"ADAMS, CINDY",0.007653858169322086,8.115068919354588e-05,0.42032696474295844,0.009801525405572208,1561,934,1172,1070
"ADAMS, CONGRESSMAN H",0.0015620118712902217,0.0,0.3683332374431851,0.0012185562061677955,4812,4067,3860,4255
"ADAMS, GEORGE",0.0010934083099031551,3.006988908094444e-09,0.3449353448275862,0.0006579613482275152,5492,4050,5458,5160
"ADAMS, MARTHA",0.0010934083099031551,3.006988908094444e-09,0.3449353448275862,0.0006579613482275151,5492,4050,5458,5161
"ADAMS, NICOLE NIKKI",0.01077788191190253,8.021666159239605e-05,0.4281128794971245,0.009866306596858996,1109,945,988,1060
"ADAMSON, JASON",0.0006248047485160887,0.0,0.26509316770186336,4.9464562234008805e-06,6020,4067,6390,6393
"ADAMSON, REBECCA",0.0006248047485160887,0.0,0.26509316770186336,4.946456223401105e-06,6020,4067,6390,6392
ADAM X,0.004529834426741643,1.8610285899808164e-05,0.382460123065894,0.004322737279111414,2437,1617,2687,2113
ADMIRAL PROTOCOL / ,0.007029053420805998,5.649971104584587e-06,0.35946097697922513,0.002736534674618752,1704,2246,4546,2817
ADORA,0.009059668853483286,6.729565423330586e-05,0.41963817514420554,0.007577740129557595,1347,1029,1186,1340
ADORA CLONE,0.0023430178069353325,0.0,0.3508714238737258,0.001286824080306511,3856,4067,5123,4133
ADRIA,0.0015620118712902217,3.53286303351608e-08,0.35282446955084046,0.0010114094537380378,4812,3809,4936,4568
ADVA,0.005935645110902842,2.517332194909576e-05,0.4069671349564554,0.004136272854341628,1994,1472,1567,2178
ADVENT / KYLE GROBE,0.002655420181193377,3.0916052593746065e-07,0.3536625787205834,0.001363918663044252,3591,3350,4876,4039
ADVERSARY,0.0078100593564511085,1.586315242977057e-06,0.38659420289855073,0.007467028563438796,1526,2836,2445,1362
AEGIS / TREY ROLLINS,0.010309278350515464,6.37183800893427e-05,0.4171771145575394,0.006565531394279314,1172,1055,1250,1528
AENTAROS,0.004529834426741643,9.981304660011177e-06,0.370186191742801,0.0014497429747991905,2437,1925,3626,3923
