,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Black Panther / T'chal,0.3098159509202454,0.0020376865427808193,0.5916515426497277,0.07851289043244149,52,64,52,55
Loki [asgardian],0.1901840490797546,0.0015727285716438091,0.5497470489038786,0.04545256108312673,98,74,101,116
Mantis / ? Brandt,0.07668711656441718,1.5174107243463717e-05,0.48656716417910445,0.02517121793092035,264,312,276,223
Iceman / Robert Bobby,0.49693251533742333,0.012271723496886145,0.6653061224489796,0.11015790566803178,25,25,25,25
Marvel Girl / Jean Grey,0.47546012269938653,0.009736077168795638,0.6559356136820925,0.1059980534875255,28,29,28,28
Cyclops / Scott Summer,0.6042944785276074,0.022347566374259612,0.7164835164835165,0.12308771691967031,10,9,10,9
Klaw / Ulysses Klaw,0.16564417177914112,0.0005195145767877251,0.5442404006677797,0.04427280382731409,125,139,114,118
Human Torch / Johnny S,0.5920245398773006,0.017855017006991485,0.710239651416122,0.12318061339697235,13,14,13,7
"Richards, Franklin B",0.2822085889570552,0.0025892109453048108,0.5821428571428572,0.07573843159479773,59,56,57,61
Wolverine / Logan,0.6748466257668712,0.035487086875697724,0.7546296296296297,0.13121725624674468,2,3,2,2
Firebird / Bonita Juar,0.11656441717791412,3.655449409803768e-05,0.5182829888712241,0.03717265344236333,177,285,196,147
Mr. Fantastic / Reed R,0.6073619631901841,0.02107208082684818,0.7180616740088106,0.12223773623673732,9,10,9,11
Medusa / Medusalith Am,0.15337423312883436,0.00018637402050726692,0.5406301824212272,0.046549297650006725,135,195,125,113
Dr. Strange / Stephen,0.4325153374233129,0.006539525831057114,0.6379647749510763,0.1024512931129132,33,37,33,31
Jack Of Hearts / Jack,0.1196319018404908,0.0001728892369364885,0.5283630470016207,0.0354519010037345,175,203,162,156
Mephisto,0.17177914110429449,0.001013698660343783,0.5460636515912898,0.04163700509631148,117,95,110,133
Thanos,0.2392638036809816,0.0005260464247009073,0.5679442508710801,0.07204052399905281,73,138,71,66
Swordsman / Jacques Du,0.08588957055214724,2.577598050639084e-05,0.49544072948328266,0.028190298569513914,239,301,250,188
Collector / Taneleer T,0.09202453987730061,3.324958359981932e-05,0.5150078988941548,0.030496011162784064,222,294,207,178
Lockjaw [inhuman],0.13803680981595093,0.00010414470695350089,0.5266558966074314,0.04334741004762766,148,229,166,125
Sub-mariner / Namor Ma,0.4386503067484663,0.008255105197595303,0.6404715127701375,0.09723074880311128,31,33,31,33
Pharaoh Rama-tut,0.2607361963190184,0.0007782682606820222,0.573943661971831,0.07656945968791772,64,111,64,59
Ant-man Ii / Scott Har,0.15644171779141106,0.0004256037395837013,0.5379537953795379,0.04316837655793735,133,149,132,126
Lyja Lazerfist [skru,0.09815950920245399,8.328599936121432e-05,0.5232744783306581,0.02775751501142085,212,244,179,193
Gorgon [inhuman],0.13496932515337423,0.00010412160341935352,0.535303776683087,0.04252838177842221,152,230,141,131
Nighthawk Ii / Kyle Ri,0.09815950920245399,6.632580773799944e-05,0.5207667731629393,0.029467193302771675,212,255,187,184
"Cage, Luke / Carl Luca",0.1901840490797546,0.001577716883330225,0.5516074450084603,0.05125136996165265,98,73,96,103
Colossus Ii / Peter Ra,0.5766871165644172,0.017728734381909788,0.7025862068965517,0.11962853317015405,15,15,15,13
Hellcat / Patsy Walker,0.1901840490797546,0.0007359686147964566,0.5516074450084603,0.05309012281933914,98,116,96,98
Karnak [inhuman],0.13803680981595093,0.00010967902298084178,0.5361842105263158,0.043358687511814265,148,227,138,124
Death,0.13190184049079756,0.0012676438528766252,0.535303776683087,0.04101416468977853,156,85,141,135
Redwing,0.07668711656441718,0.00014515597273289133,0.5150078988941548,0.018821452349674958,264,212,207,262
Daredevil / Matt Murdo,0.4447852760736196,0.013280259338858244,0.6417322834645669,0.09872879018555059,30,22,30,32
"Norriss, Sister Barb",0.18711656441717792,0.0006027981887485655,0.5506756756756757,0.051326495535641004,103,131,99,101
Rage / Elvin Daryl Hal,0.1441717791411043,0.0002193093760793456,0.5379537953795379,0.043008188426739244,145,182,132,127
Starfox / Eros,0.22392638036809817,0.001106562975194655,0.5630397236614854,0.06062914347562345,83,90,80,84
Demolition Man / Denni,0.09202453987730061,0.00011913071454978286,0.49770992366412214,0.027450357544919226,222,221,247,196
Sersi / Sylvia,0.25153374233128833,0.0019571887224581466,0.5709281961471103,0.06364133986017016,68,65,70,83
